kod,sirket_adi,yil,ilk_islem_tarihi,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_lot_basina_kisi,log_lot_basina_kisi,bireysel_kisi,halka_arz_fiyati,toplam_lot,halka_arz_buyuklugu_tl,log_buyukluk,esit_dagitim,hedef_acilis_serisi,hedef_en_az_3_gun,hedef_en_az_5_gun,en_uzun_seri_hesaplanan,toplam_tavan_gunu,ilk_gun_getiri_yuzde,ilk_gun_fiyat_guvenilir
EKIM,(Intercity) Ekim Turizm Tic. ve San. A.Ş.,2026,9 Temmuz 2026,30.56,69.44,121.21,4.79752457848242,706837.0,30.26,162000000.0,4902120000.0,22.312933601556868,1,0,0,0,1,1,-9.98,1
GOLDA,Golda Gıda San. ve Tic. A.Ş.,2026,8 Temmuz 2026,57.14,42.86,116.72,4.7597779042145305,748056.0,9.2,87499998.0,804999981.5999999,20.506352812525694,1,8,1,1,8,9,10.0,1
SOHOE,Soho Giyim ve Enerji A.Ş.,2026,6 Temmuz 2026,100.0,0.0,147.38,4.9930142853388535,658589.0,15.0,100000000.0,1500000000.0,21.128730945054574,1,1,0,0,1,1,10.0,1
ORZAX,(Orzax) Orzaks İlaç ve Kimya San. Tic. A.Ş.,2026,7 Temmuz 2026,60.0,40.0,30.73,3.425239376142393,973805.0,69.0,52500000.0,3622500000.0,22.010430232159113,1,1,0,0,3,6,10.0,1
BETAE,Beta Enerji ve Teknoloji A.Ş.,2026,1 Temmuz 2026,90.53,9.47,27.52,3.314913013065143,1103933.0,40.0,60750000.0,2430000000.0,21.611157094298868,1,10,1,1,10,14,10.0,1
EKDMR,Ekinciler Demir ve Çelik Sanayi A.Ş.,2026,22 Mayıs 2026,92.29,7.71,26.27,3.2684276036974484,791713.0,45.0,52000000.0,2340000000.0,21.573416766316022,1,4,1,0,4,6,10.0,1
AAGYO,Ağaoğlu Avrasya Gayrimenkul Yatırım Ortaklığı A.Ş.,2026,9 Nisan 2026,60.03,39.97,120.92,4.795129169911258,917000.0,21.1,176000000.0,3713600000.0000005,22.03526759348445,1,2,0,0,2,2,9.95,1
MCARD,(MetropolCard) Metropal Kurumsal Hizmetler A.Ş.,2026,11 Mart 2026,81.63,18.37,9.4,2.2407096892759584,964747.0,80.0,18900000.0,1512000000.0,21.136699114703752,1,4,1,0,4,11,10.0,1
LXGYO,Luxera Gayrimenkul Yatırım Ortaklığı A.Ş.,2026,10 Mart 2026,91.37,8.63,54.06,3.9900945408483017,887852.0,12.05,120000000.0,1446000000.0,21.092066960682985,1,7,1,1,7,9,9.96,1
GENKM,Gentaş Kimya San. ve Tic. Pazarlama A.Ş.,2026,6 Mart 2026,95.35,4.65,155.04,5.043683148142456,803626.0,11.0,124845000.0,1373295000.0,21.04047879862881,1,5,1,1,5,7,10.0,1
SVGYO,Savur Gayrimenkul Yatırım Ortaklığı A.Ş.,2026,6 Mart 2026,82.73,17.27,168.53,5.127113775487929,701103.0,3.64,295400000.0,1075256000.0,20.795824609710202,1,11,1,1,11,20,9.89,1
EMPAE,Empa Elektronik San. ve Tic. A.Ş.,2026,26 Şubat 2026,88.24,11.76,20.1,3.0007198150650303,1134244.0,22.0,38000000.0,836000000.0,20.544139171048975,1,6,1,1,6,12,10.0,1
ATATR,Ata Turizm İşletmecilik Taşımacılık Madencilik Kuyumculuk San. ve Dış Ticaret A.Ş.,2026,19 Şubat 2026,85.71,14.29,179.89,5.1923455529745945,622600.0,11.2,280000000.0,3136000000.0,21.866213939434573,1,5,1,1,5,9,10.0,1
BESTE,Best Brands Grup Enerji Yatırım A.Ş.,2026,11 Şubat 2026,70.0,30.0,68.52,4.2271256734559195,795046.0,14.7,54578570.0,802304979.0,20.50299936661264,1,10,1,1,10,13,10.0,1
AKHAN,Akhan Un Fabrikası ve Tarım Ürünleri Gıda Sanayi Tic. A.Ş.,2026,6 Şubat 2026,100.0,0.0,34.22,3.5328102684640474,959086.0,21.5,54700000.0,1176050000.0,20.885427202525825,1,4,1,0,4,4,9.95,1
NETCD,Netcad Yazılım A.Ş.,2026,5 Şubat 2026,32.88,67.12,24.13,3.1834558796369405,994717.0,46.0,40000000.0,1840000000.0,21.333031408567305,1,8,1,1,8,12,10.0,1
UCAYM,Üçay Mühendislik Enerji ve İklimlendirme Teknolojileri A.Ş.,2026,22 Ocak 2026,90.91,9.09,53.47,3.97912074896064,785446.0,18.0,60000000.0,1080000000.0,20.80022687808254,1,8,1,1,8,10,10.0,1
FRMPL,Formül Plastik ve Metal Sanayi A.Ş.,2026,15 Ocak 2026,75.0,25.0,38.24,3.643882088183201,679834.0,30.24,40000000.0,1209600000.0,20.913555563389544,1,4,1,0,4,7,9.99,1
ZGYO,Z Gayrimenkul Yatırım Ortaklığı A.Ş.,2026,16 Ocak 2026,50.0,50.0,97.96,4.584559232083967,431279.0,9.77,84500000.0,825565000.0,20.531578558382094,1,3,1,0,5,15,9.93,1
MEYSU,Meysu Gıda San. ve Tic. A.Ş.,2026,13 Ocak 2026,68.57,31.43,121.83,4.8026266303663165,646385.0,7.5,175000000.0,1312500000.0,20.99519955243005,1,4,1,0,4,10,10.0,1
